"id","owner","gate","points","due_date","depends_on","title","milestones","paths","acceptance","reviewer","status","evidence"
"FE11","Member 2","G2","5","2026-09-18","FE10","Build sharing screens and read-only viewer page","M16","apps/web/src/features/sharing","Owner creates, copies and revokes links; viewer sees read-only views; a revoked link shows a clear message","Member 1","in_progress","SharePage rebuilt (one-time link, copy, revoke table, preview); /s/:token viewer uses the new read-only layouts with revoked and not-found states; create-open-revoke browser run and rate-limit state (BE13) pending; 2026-09-20 main merge resolved with My Trip UX preserved and incoming unverified-place, unknown-travel and stale-share safeguards integrated; check PASS (340 tests), 17 isolated browser groups PASS; deliverables/evidence/my-trip-merge-2026-09-20.md; 2026-09-20 navigation and trip UI refresh: persistent labeled header/mobile dock, brighter shortcuts, regeneration review, 44px reorder controls, bounded public covers and Details redirect; check/build PASS, 38 isolated browser groups PASS; deliverables/evidence/navigation-refresh-2026-09-20.md; human acceptance and deployment pending"
"FE12","Member 2","G2","5","2026-09-18","FE02;FE09","Add a browser end-to-end test of the core demo","M05;M16","tests/e2e","Sign in, import, select places, generate, edit, share and revoke run in a browser test with recorded results","Member 1","todo",""
"FE13","Member 2","G3","5","2026-09-20","FE03;BE11","Instrument funnel events and verify the analytics report","M19","apps/web/src/lib;deliverables/evidence","Landing, import, select, plan, edit and share events arrive with no private content; report captured","Member 1","in_progress","2026-09-22 bounded browser/server analytics contract and optional HTTPS webhook sink implemented; private-content limits tested; deliverables/evidence/production-readiness-refinements-2026-09-22.md; provider configuration and received-event report pending; GA4 G-1MNPG57MNM deployed 2026-09-22 with explicit SPA pageviews and product actions; 577 tests and cloud build pass; DebugView and real-user screenshot pending. deliverables/evidence/ga4-2026-09-22.md; docs/operations/ga4.md; 2026-09-23: tick-to-plan selection and automatic provider route matching implemented; synthetic service/browser checks and remaining limits in deliverables/evidence/tick-to-plan-2026-09-23.md; hosted provider quality and human review pending"
"FE14","Member 2","G3","3","2026-09-21","FE04;FE05;FE11;BE12;BE13","Integrate the full traveler journey; phone-width and keyboard pass","M02;M05;M16","apps/web","Core demo works at 400 px wide and by keyboard; largest planning or sharing blocker fixed","Member 3","todo",""
"FE15","Member 2","G4","3","2026-09-23","FE14;BE15","Finish owned answers and review backend flows","M02;M05;M16;M19;M20","deliverables/milestones;tests","Five answers complete; independently reproduce account isolation, share revocation and import recovery","Member 4","todo",""
"FE16","Member 2","G5","3","2026-09-24","FE08;FE15","Polish visuals and pitch; rehearse the demo","M20","deliverables/pitch;deliverables/launch","Final visuals ready; pitch claims checked against evidence; full demo rehearsal done","Member 1","todo",""
"BE01","Member 3","G0","5","2026-09-12","","Probe input access and publish candidate fixtures","M01;M07","packages/contracts;evals/datasets","Document accessible input paths, fallbacks, provider terms (DEC-05) and representative place cases","Member 4","in_progress","Local audio slice, synthetic fixtures, DEC-05/DEC-08 implemented. npm run check PASS (124 tests). Verification evidence: deliverables/evidence/be01-audio-2026-09-16.md. Live sample and independent review pending. Gemini YouTube live retry PASS with gemini-3.6-flash (12943 characters); accuracy review pending. Transcript CLI follow-up: deliverables/evidence/be01-youtube-2026-09-16.md.; 2026-09-21 YouTube speech/visual itinerary-place CLI implemented; deliverables/evidence/be01-reels-2026-09-21.md; npm run check PASS (250 tests across 18 files); live/human review pending; schema/progress correction: deliverables/evidence/be01-reels-schema-fix-2026-09-21.md; check PASS 256 tests; live full flow unresolved (provider availability and rejected classifier output)"
"BE02","Member 3","G1","8","2026-09-14","BE01;BE09","Implement text and screenshot extraction adapters","M07;M08","packages/ai;packages/ai/prompts","Real extractor returns validated evidence-linked clues; malformed output rejected; fake adapter tests still pass","Member 4","in_progress","deliverables/evidence/be02-be03-google-2026-09-16.md; text/Places integration implemented; live smoke and human review pending; screenshot extraction deferred; 2026-09-20: country/category extraction with source citations and AI provenance wired to library filters and place cards. See deliverables/evidence/source-classification-2026-09-20.md; human review pending. 2026-09-21 YouTube speech/visual itinerary-place CLI implemented; deliverables/evidence/be01-reels-2026-09-21.md; npm run check PASS (250 tests across 18 files); live/human review pending; schema/progress correction: deliverables/evidence/be01-reels-schema-fix-2026-09-21.md; check PASS 256 tests; live full flow unresolved (provider availability and rejected classifier output)"
"BE03","Member 3","G1","8","2026-09-15","BE02","Implement place lookup, branch ambiguity and deduplication","M07;M09","packages/ai;apps/web/src/server","Source evidence and ambiguity survive lookup; route selection uses provider-returned options without falsely confirming a branch; duplicate source links survive merging; hours are never guessed","Member 4","in_progress","deliverables/evidence/be02-be03-google-2026-09-16.md; text/Places integration implemented; live smoke and human review pending; screenshot extraction deferred 2026-09-18: Member 4 reproduced non-atomic merge/reference failure and opened coordination issue #9; implementation and Member 3 acknowledgement pending. docs/operations/member3-transactional-merge.md; https://github.com/namprice227/reel-travel/issues/9 2026-09-19: user-requested Google lookup restored; confirmation and evidence preserved; live API returns 403 pending key access. deliverables/evidence/google-places-restored-2026-09-19.md Later 2026-09-19: user selected OpenStreetMap; Nominatim lookup with cache and shared throttle implemented; live location lookup passed. deliverables/evidence/openstreetmap-2026-09-19.md Added user-requested per-place verification with worker-only lookup and explicit confirmation; tests and Supabase adapter checks passed. deliverables/evidence/place-verification-2026-09-19.md 2026-09-20: user-directed Google default restored with ten-clue bound; live lookup and targeted tests passed. See deliverables/evidence/google-places-active-2026-09-20.md; hosted release pending. 2026-09-21: owner-only Google photos with attribution quotas and lazy UI; live media and synthetic browser checks passed. deliverables/evidence/place-photos-2026-09-21.md; hosted rollout pending. 2026-09-21: F8 Phase 1 owner-scoped account reads and idempotent cross-trip confirmed-place copying preserve selected provider IDs and evidence; 400 tests passed. deliverables/evidence/f8-saved-places-phase1-2026-09-21.md; hosted Supabase verification pending. 2026-09-22: fixed production legacy optional-URL read failures; 581 tests and read-only affected-trip check pass; deliverables/evidence/legacy-place-links-2026-09-22.md; 2026-09-23: tick-to-plan selection and automatic provider route matching implemented; synthetic service/browser checks and remaining limits in deliverables/evidence/tick-to-plan-2026-09-23.md; hosted provider quality and human review pending; 2026-09-23 deletion options: deliverables/evidence/delete-saved-data-2026-09-23.md; synthetic service and offline Edge checks PASS; hosted and human review pending; 2026-09-24: same-country account reel places now appear in the trip Saved ideas picker and copy with provider candidates plus durable source evidence; owner isolation, idempotency, 7 Edge browser checks and npm run check PASS (663 tests); hosted Supabase and human review pending; 2026-09-24: verified audit repairs and offline acceptance in deliverables/evidence/audit-bug-fixes-2026-09-24.md; live and human review pending"
"BE04","Member 3","G2","5","2026-09-18","BE03;BE10","Connect real providers to durable import jobs","M07;M08","apps/web/src/server;apps/worker","Job failures keep original saves; bounded retries add no duplicates; provider keys stay server-side","Member 4","in_progress","deliverables/evidence/be02-be03-google-2026-09-16.md; text/Places integration implemented; live smoke and human review pending; screenshot extraction deferred; deliverables/evidence/ai-workflow-resilience-2026-09-24.md (transient-provider retry, link recovery with details, repeated-place repair; live check recorded, human review pending); deliverables/evidence/itinerary-draft-trips-2026-09-24.md (itinerary reels become draft trips; live check recorded; browser UI, Supabase migration and human review pending); 2026-09-24: verified audit repairs and offline acceptance in deliverables/evidence/audit-bug-fixes-2026-09-24.md; live and human review pending"
"BE05","Member 3","G3","5","2026-09-20","BE03","Run held-out model and prompt evaluation","M09;M11","evals;packages/ai/prompts","Compare three candidates; report precision, coverage, cost and latency with actual counts","Member 4","in_progress","Offline extraction benchmark with interactive source-scope adjudication and separate entity/location scoring and metric diagnostics implemented for OpenAI/Anthropic/DeepSeek; evals/llm/README.md. Synthetic samples supplied; evaluation-only YouTube preparation and human labelling workflow with one-command approve-all and separately approved Places suggestions added with offline candidate suggestions and review menu; OCR noise filters tightened after user feedback; full saved evidence display restored before approval menu; explicit OCR/transcript proposal priority implemented with broader travel-entity inclusion; shared extraction prompt strengthened with conservative evidence guardrails (51 offline tests passed). Live held-out comparison and independent human review pending. 2026-09-22: current v5 itinerary model comparison executed with four backends and separate parameter study; deliverables/evidence/itinerary-provider-comparison-2026-09-22.md; independent human and extraction evaluation remain pending."
"BE06","Member 3","G3","3","2026-09-21","BE05","Improve one measured extraction weakness","M08;M11","packages/ai;evals/results","Retain before/after result and explain trade-off","Member 4","todo",""
"BE07","Member 3","G4","3","2026-09-23","BE04;BE06","Finish owned answers and test AI input safety","M01;M07;M08;M09;M11","deliverables/milestones;tests","Five answers complete; instructions embedded in saves cannot change extraction or bypass validation","Member 4","todo",""
"BE08","Member 3","G5","3","2026-09-24","BE07","Freeze AI evidence and rehearse failure recovery","M11","evals/results;deliverables/pitch","Final model/prompt versions and limitations match deployed demo","Member 4","todo",""
"BE09","Member 4","G0","3","2026-09-12","","Confirm database, auth and hosting; review contracts and fixtures","M15","database;packages/contracts;docs/operations","DEC-04 recorded; contracts, job interface and itinerary hard-case fixtures reviewed with all members","Member 3","in_progress","DEC-04 records user-selected Supabase and prepared Vercel hosting. Contracts updated for password sign-in/signup; setup and migration documented in docs/operations/supabase-vercel.md. Accounts will be connected by the user; team contract/fixture review pending. deliverables/evidence/member4-supabase-2026-09-16.md"
"BE10","Member 4","G1","8","2026-09-14","BE09","Implement real identity, persistent storage and private uploads","M13;M15","database;apps/web/src/server","Repositories run on the chosen database; separate accounts cannot access each other's data; signed-in trip survives reload","Member 3","in_progress","Implemented Supabase repositories, confirmed email/password auth with hashed app sessions, and owner-gated private storage. npm run check PASS (84 tests); actual PostgreSQL migration/concurrency suite PASS (8 tests); production build PASS. 2026-09-18: live Supabase Auth/database/private Storage verification PASS (16 grouped checks); local process restart persistence and cross-account isolation verified; temporary data cleaned. Hosted acceptance and independent review pending. deliverables/evidence/member4-supabase-2026-09-16.md; deliverables/evidence/member4-supabase-live-2026-09-18.md 2026-09-18: atomic import submission and retry reuse; shared import quotas; 4 MiB screenshots and cleanup; checked trip edits implemented. 288 application tests and 16 PostgreSQL tests plus build pass. Hosted migration/browser review pending. deliverables/evidence/member4-import-hardening-2026-09-18.md 2026-09-21: private Supabase-backed trip covers, atomic replacement, owner UI and stock-photo removal implemented; 395 application tests pass. Hosted migration and browser review pending. deliverables/evidence/trip-cover-storage-2026-09-21.md; 2026-09-23 date and selection fixes: deliverables/evidence/trip-date-and-selection-fixes-2026-09-23.md; 616 tests and offline browser checks PASS; hosted and human review pending; 2026-09-23 deletion options: deliverables/evidence/delete-saved-data-2026-09-23.md; synthetic service and offline Edge checks PASS; hosted and human review pending"
"BE11","Member 4","G1","5","2026-09-15","BE10","Deploy first slice with job runner, checks and analytics provider","M15","apps/worker;docs/operations;apps/web","Smoke test passes on the deployed URL; retries run on schedule; server events reach the analytics provider","Member 3","in_progress","2026-09-17: dedicated Supabase-backed Node worker replaces HTTP/Cron execution; isolated 15-minute attempts, 20-minute abandoned recovery and atomic attempt exhaustion. npm run check PASS (227 tests); PostgreSQL suite PASS (11); build PASS; local smoke PASS (13); production legacy executor 403. docs/operations/worker.md; deliverables/evidence/member4-worker-2026-09-17.md. 2026-09-18: added two-minute and English-only video gates using the user-selected duration API; live long-video rejection and short-English transcription verified. Evidence: deliverables/evidence/member4-video-restrictions-2026-09-18.md. 2026-09-18: user-directed LLM-only candidates now persist without Google Places; live Short produced 7 unverified candidates with original evidence and zero Places calls. See deliverables/evidence/member4-llm-candidates-2026-09-18.md. Vercel deployed with existing Supabase; hosted auth and Short import through local worker verified. User declined paid worker hosting; Render Blueprint remains optional. PR 8 and deliverables/evidence/member4-vercel-deployment-2026-09-18.md. Continuous hosted worker, live crash recovery and analytics delivery pending. 2026-09-18: atomic import submission and retry reuse; shared import quotas; 4 MiB screenshots and cleanup; checked trip edits implemented. 288 application tests and 16 PostgreSQL tests plus build pass. Hosted migration/browser review pending. deliverables/evidence/member4-import-hardening-2026-09-18.md 2026-09-18: atomic Skip/job settlement and attempt checks; explicit unknown travel; stale public plans withheld until regeneration. 305 application tests; 21 SQL tests; build pass. Follow-up: 13 HTTP and 38 Chromium browser checks pass; Home selector/layout regressions fixed. Hosted preflight reports both new migrations absent; worker restart and independent human review pending. deliverables/evidence/member4-flow-safety-2026-09-18.md"
"BE12","Member 4","G2","8","2026-09-17","BE09","Extend preference validation and improve itinerary generation","M10;M12","packages/planner;apps/web/src/server","Validate overlap, duration, timezone and hours; use selected provider-backed places, travel and breaks; explain unknowns and infeasible days","Member 3","in_progress","Implemented calendar-valid booking timestamps, confirmed must-visits, timezone/provider staleness, preference-aware wait/travel ranking and first-booking reachability. Local tests and synthetic benchmark recorded in deliverables/evidence/member4-implementation-2026-09-16.md; production/provider validation and human review pending. Final npm run check PASS (72 tests); local npm run smoke PASS (13 HTTP checks). 2026-09-18: atomic Skip/job settlement and attempt checks; explicit unknown travel; stale public plans withheld until regeneration. 305 application tests; 21 SQL tests; build pass. Follow-up: 13 HTTP and 38 Chromium browser checks pass; Home selector/layout regressions fixed. Hosted preflight reports both new migrations absent; worker restart and independent human review pending. deliverables/evidence/member4-flow-safety-2026-09-18.md 2026-09-19: confirmed-list to generation acceptance passed in 11 browser checks and six live Supabase service assertions; ready-to-plan UI and place-load recovery added. deliverables/evidence/confirmed-itinerary-2026-09-19.md 2026-09-21: OpenAI itinerary provider from saved inputs with common schema/compiler and benchmark harness; live synthetic UI/Supabase acceptance passed. deliverables/evidence/itinerary-ai-2026-09-21.md; formal provider comparison and human review pending. 2026-09-21: repaired stale singular accommodation references; compiler and AI travel input now select the stay for each date; check PASS with 432 tests; live model not rerun. Post-merge check repair: deliverables/evidence/itinerary-merge-repair-2026-09-21.md; practical v4 prompt retains multi-stay support. 2026-09-22: contextual Google nearby venues fitted to lunch/activity slots with dated weather, budget/interests, regular hours and travel checks; provider fallback and live synthetic probes recorded in deliverables/evidence/itinerary-nearby-2026-09-22.md. Human review pending. 2026-09-23: v6 practical scheduler implements saved-place recovery calculated timelines lunch slots advisory quality repair and trade-off explanations; offline replay and checks in deliverables/evidence/itinerary-practical-v6-2026-09-23.md. Live v6 and human review pending.; 2026-09-23: tick-to-plan selection and automatic provider route matching implemented; synthetic service/browser checks and remaining limits in deliverables/evidence/tick-to-plan-2026-09-23.md; hosted provider quality and human review pending; 2026-09-23 date and selection fixes: deliverables/evidence/trip-date-and-selection-fixes-2026-09-23.md; 616 tests and offline browser checks PASS; hosted and human review pending; deliverables/evidence/ai-workflow-resilience-2026-09-24.md (transient-provider retry, link recovery with details, repeated-place repair; live check recorded, human review pending); 2026-09-24: verified audit repairs and offline acceptance in deliverables/evidence/audit-bug-fixes-2026-09-24.md; live and human review pending; 2026-09-25 stays link to Places hotels (type-ahead stays.suggest and stays.place, server re-check, city/country fit, nearby confirmation, destination-change re-check), days start at last night's hotel, FAR_FROM_STAY warning, AI prompt itinerary-v8 with per-day stay nodes; deliverables/evidence/stay-place-mapping-2026-09-25.md; synthetic tests PASS; live Google viewport check, v8 benchmark and human review pending"
"BE13","Member 4","G2","5","2026-09-18","BE10;BE12","Harden versioned edits, sharing safeguards and rate limits","M03;M10;M13","packages/planner;apps/web/src/server","Locked bookings stay fixed; stale edits rejected with explanation; revoked links fail; rate limits checked","Member 3","in_progress","Implemented atomic itinerary versions, pointer preservation, midnight/duplicate-place edit rejection, revocation-safe share views, public allowlisting and 429/Retry-After quotas. Supabase functions verified with concurrent PostgreSQL connections; 84 application tests and 8 SQL tests pass. Hosted and human/browser review pending. deliverables/evidence/member4-supabase-2026-09-16.md 2026-09-18: atomic import submission and retry reuse; shared import quotas; 4 MiB screenshots and cleanup; checked trip edits implemented. 288 application tests and 16 PostgreSQL tests plus build pass. Hosted migration/browser review pending. deliverables/evidence/member4-import-hardening-2026-09-18.md 2026-09-18: atomic Skip/job settlement and attempt checks; explicit unknown travel; stale public plans withheld until regeneration. 305 application tests; 21 SQL tests; build pass. Follow-up: 13 HTTP and 38 Chromium browser checks pass; Home selector/layout regressions fixed. Hosted preflight reports both new migrations absent; worker restart and independent human review pending. deliverables/evidence/member4-flow-safety-2026-09-18.md; 2026-09-24: verified audit repairs and offline acceptance in deliverables/evidence/audit-bug-fixes-2026-09-24.md; live and human review pending; 2026-09-24 edits: set_stop_time and refresh_place, itinerary.addPlace/updatePlace and places.search (rate-limited, server re-checks results); selection absorbed without making a current plan stale; deliverables/evidence/trip-settings-and-day-editing-2026-09-24.md; integration tests PASS; Supabase and live provider runs pending"
