provider,case,run,feasible,accepted,first_pass_accepted,useful,attempts,latency_ms,input_tokens,output_tokens,estimated_cost_usd
openai,distant-day-trip,2,true,false,false,false,2,6892.9,3301,430,0.0020084
gemini,distant-day-trip,2,true,false,false,false,1,404.3,,,
ollama,distant-day-trip,2,true,false,false,false,1,25016.6,,,
gemini,injected-title,2,true,false,false,false,1,331.8,,,
ollama,injected-title,2,true,false,false,false,1,25005.2,,,
openai,injected-title,2,true,true,true,true,1,3169.7,1644,229,0.001024
ollama,summer-pace,2,true,false,false,false,1,25002.8,,,
openai,summer-pace,2,true,true,true,true,1,4847.6,1721,318,0.0011972
gemini,summer-pace,2,true,false,false,false,1,306.9,,,
openai,impossible-bookings,2,false,false,false,false,2,8714.4,3332,761,0.0025504000000000004
gemini,impossible-bookings,2,false,false,false,false,1,319.5,,,
ollama,impossible-bookings,2,false,false,false,false,1,25009.6,,,
ollama,full-day,3,true,false,false,false,1,25006.1,,,
openai,full-day,3,true,true,true,true,1,3966.1,1910,287,0.0012232
gemini,full-day,3,true,false,false,false,1,614.2,,,
openai,three-day-clusters,3,true,true,false,true,2,12434.3,4943,1148,0.0038140000000000005
gemini,three-day-clusters,3,true,false,false,false,1,332.1,,,
ollama,three-day-clusters,3,true,false,false,false,1,25005.9,,,
gemini,destination-only,3,true,false,false,false,1,597.6,,,
ollama,destination-only,3,true,false,false,false,1,267.7,,,
openai,destination-only,3,true,true,true,true,1,7350.9,1305,688,0.0016228
ollama,sparse-five-days,3,true,false,false,false,1,272.0,,,
openai,sparse-five-days,3,true,true,true,true,1,10327.5,1800,1109,0.0024944
gemini,sparse-five-days,3,true,false,false,false,1,509.6,,,
openai,booked-place,3,true,true,true,true,1,3572.1,1830,248,0.0011288
gemini,booked-place,3,true,false,false,false,1,253.7,,,
ollama,booked-place,3,true,false,false,false,1,520.2,,,
gemini,closed-priority,3,true,false,false,false,1,268.8,,,
ollama,closed-priority,3,true,false,false,false,1,521.5,,,
openai,closed-priority,3,true,true,false,true,2,7940.2,3673,815,0.0027732
ollama,unknown-facts,3,true,false,false,false,1,276.6,,,
openai,unknown-facts,3,true,true,true,false,1,3933.1,1385,298,0.0010308
gemini,unknown-facts,3,true,false,false,false,1,345.0,,,
openai,short-window,3,true,false,false,false,2,3805.4,3561,244,0.0018148
gemini,short-window,3,true,false,false,false,1,293.4,,,
ollama,short-window,3,true,false,false,false,1,287.4,,,
gemini,distant-day-trip,3,true,false,false,false,1,296.4,,,
ollama,distant-day-trip,3,true,false,false,false,1,286.0,,,
openai,distant-day-trip,3,true,true,false,false,2,5289.8,3355,470,0.0020940000000000004
ollama,injected-title,3,true,false,false,false,1,277.4,,,
openai,injected-title,3,true,true,true,true,1,2896.4,1644,232,0.0010288000000000003
gemini,injected-title,3,true,false,false,false,1,326.9,,,
openai,summer-pace,3,true,true,true,true,1,3869.1,1721,335,0.0012244
gemini,summer-pace,3,true,false,false,false,1,264.8,,,
ollama,summer-pace,3,true,false,false,false,1,287.3,,,
gemini,impossible-bookings,3,false,false,false,false,1,295.1,,,
ollama,impossible-bookings,3,false,false,false,false,1,288.7,,,
openai,impossible-bookings,3,false,false,false,false,2,7777.7,3298,730,0.0024872
baseline,full-day,1,true,true,true,false,1,1.7,0,0,
baseline,three-day-clusters,1,true,true,true,false,1,1.1,0,0,
baseline,destination-only,1,true,true,true,false,1,0.4,0,0,
baseline,sparse-five-days,1,true,true,true,false,1,0.7,0,0,
baseline,booked-place,1,true,true,true,false,1,0.6,0,0,
baseline,closed-priority,1,true,true,true,false,1,0.6,0,0,
baseline,unknown-facts,1,true,true,true,false,1,0.8,0,0,
baseline,short-window,1,true,true,true,false,1,0.7,0,0,
baseline,distant-day-trip,1,true,true,true,false,1,0.5,0,0,
baseline,injected-title,1,true,true,true,false,1,0.6,0,0,
baseline,summer-pace,1,true,true,true,false,1,0.5,0,0,
baseline,impossible-bookings,1,false,false,false,false,1,0.5,0,0,
